"COD_IBGE","NM_MUN","NM_MUN_S","BIOMA","NM_UF"
4100459,"ALTAMIRA DO PARANÁ","ALTAMIRA DO PARANA","Mata Atlantica","PARANA"
2300606,"ALTANEIRA","ALTANEIRA","Caatinga","CEARA"
3102001,"ALTEROSA","ALTEROSA","Mata Atlantica","MINAS GERAIS"
2600807,"ALTINHO","ALTINHO","Caatinga","PERNAMBUCO"
2600807,"ALTINHO","ALTINHO","Mata Atlantica","PERNAMBUCO"
3501004,"ALTINÓPOLIS","ALTINOPOLIS","Cerrado","SAO PAULO"
3501004,"ALTINÓPOLIS","ALTINOPOLIS","Mata Atlantica","SAO PAULO"
4300554,"ALTO ALEGRE","ALTO ALEGRE","Mata Atlantica","RIO GRANDE DO SUL"
1400050,"ALTO ALEGRE","ALTO ALEGRE","Amazonia","RORAIMA"
3501103,"ALTO ALEGRE","ALTO ALEGRE","Mata Atlantica","SAO PAULO"
2100436,"ALTO ALEGRE DO MARANHÃO","ALTO ALEGRE DO MARANHAO","Cerrado","MARANHAO"
2100477,"ALTO ALEGRE DO PINDARÉ","ALTO ALEGRE DO PINDARE","Amazonia","MARANHAO"
1100379,"ALTO ALEGRE DOS PARECIS","ALTO ALEGRE DOS PARECIS","Amazonia","RONDONIA"
5100300,"ALTO ARAGUAIA","ALTO ARAGUAIA","Cerrado","MATO GROSSO"
4200754,"ALTO BELA VISTA","ALTO BELA VISTA","Mata Atlantica","SANTA CATARINA"
5100359,"ALTO BOA VISTA","ALTO BOA VISTA","Amazonia","MATO GROSSO"
5100359,"ALTO BOA VISTA","ALTO BOA VISTA","Cerrado","MATO GROSSO"
3102050,"ALTO CAPARAÓ","ALTO CAPARAO","Mata Atlantica","MINAS GERAIS"
2400703,"ALTO DO RODRIGUES","ALTO DO RODRIGUES","Caatinga","RIO GRANDE DO NORTE"
4300570,"ALTO FELIZ","ALTO FELIZ","Mata Atlantica","RIO GRANDE DO SUL"
5100409,"ALTO GARÇAS","ALTO GARCAS","Cerrado","MATO GROSSO"
